iteration,avg_reward,max_reward
1,-1725.7556932775612,1000.0
2,-1835.8034645227194,1000.0
3,-1508.6809776491377,1000.0
4,-1705.4693350426237,1000.0
5,-390.1301924767631,1000.0
6,577.6810097177831,1000.0
7,-532.0283809907904,1824.2691632890435
8,-459.915104503537,1000.0
9,75.38393579548641,1000.0
10,986.0191242473445,1000.0
11,616.5546402494626,1000.0
12,996.361278107041,1000.0
13,985.9748722999809,1000.0
14,1000.0,1000.0
15,1000.0,1000.0
16,1000.0,1000.0
17,813.7123336335219,1000.0
18,1000.0,1000.0
19,1000.0,1000.0
20,1000.0,1000.0
21,1000.0,1000.0
22,970.6712948367821,1000.0
23,1000.0,1000.0
24,1000.0,1000.0
25,1000.0,1000.0
26,1000.0,1000.0
27,1000.0,1000.0
28,1000.0,1000.0
29,1000.0,1000.0
30,1000.0,1000.0
31,1000.0,1000.0
32,995.4437104869862,1000.0
33,995.1489097628288,1000.0
34,1000.0,1000.0
35,1000.0,1000.0
36,1000.0,1000.0
37,1000.0,1000.0
38,1000.0,1000.0
39,1000.0,1000.0
40,1000.0,1000.0
41,1000.0,1000.0
42,1000.0,1000.0
43,1000.0,1000.0
44,1000.0,1000.0
45,1000.0,1000.0
46,1000.0,1000.0
47,1000.0,1000.0
